Loading pressure (MPa),Clearance medium,Hot side temperature (K),Voltage (V),Output power (W)
0.01 ~ 0.1,Air,400,0.9487 ~ 0.9571,0.2654~ 0.2707
500,2.150~ 2.170,1.254 ~ 1.280
600,3.514~ 3.543,3.119 ~ 3.178
700,4.903~ 4.941,5.749 ~ 5.849
400,1.460~ 1.461,0.650 ~ 0.651
,,500,3.244~ 3.246,2.963 ~ 2.967
Silver-epoxy adhesive,600,5.163~ 5.165,7.056~ 7.061
,700,6.975~,12.40~
,,6.978,12.41
