,Real,Identified,Lower boundary,Upper boundary
1,42.18%,42.74 %,40.56 %,44.92%
2,47.71 %,48.54 %,46.53 %,50.55 %
3,75.26 %,75.49 %,73.51%,77.47 %
4,61.84%,61.89 %,59.83%,63.95 %
5,94.01%,94.79 %,92.67%,96.91 %
