,Real,Identified,Lower boundary,Upper boundary
1,24.49%,24.63%,22.45%,26.81 %
2,79.07 %,78.79 %,76.78 %,80.80%
3,76.60 %,76.10 %,74.12 %,78.08 %
4,44.14%,43.77 %,41.71 %,45.83 %
5,81.96 %,82.48 %,80.36 %,84.60 %
