Configurations,$2 < \mathrm { M a } < 6$,$\mathrm { M a } > 6$
Windward,Leeward,Windward,Leeward
Head,Flat,Tangent-Wedge,Dahlem-Buck,Modified Newtonian,Prandtl-Meyer Expansion
Fuselage,Flat,Tangent-Cone,Dahlem-Buck,Modified Newtonian,Prandtl-Meyer Expansion
Wing,flat,Tangent-Cone,Dahlem-Buck,Modified Newtonian,Prandtl-Meyer Expansion
