Variable,B,a,95 % CI of B,95 % CI of α,$R ^ { 2 }$
$E _ { 1 }$,1.36e5,0.966,"[2.84e4, 6.46e5]","[0.529, 1.403]",0.998
$E _ { 2 }$,1.11e5,0.970,"[7.91e4, 1.58e5]","[0.873, 1.066]",0.999
$E _ { 3 }$,6.98e3,0.971,"[6.39e3, 7.62e3]","[0.946, 0.996]",1.000
$G _ { 1 3 }$,2.08e4,0.962,"[5.51e3, 7.83e4]","[0.591, 1.333]",0.999
$G _ { 2 3 }$,2.12e4,0.971,"[1.60e4, 2.82e4]","[0.892, 1.050]",1.000
$G _ { 1 2 }$,1.80e4,0.970,"[1.73e4, 1.87e4]","[0.959, 0.981]",1.000
$N u _ { 2 1 }$,6.23e-8,1.023,"[9.10e-9, 4.27e-7]","[0.485, 1.561]",0.998
$N u _ { 3 1 }$,1.21e-7,0.967,"[1.83e-8, 8.05e-7]","[0.438, 1.496]",0.998
$N u _ { 2 3 }$,3.57e-9,1.017,"[3.42e-9, 3.74e-9]","[1.004, 1.030]",1.000
$\Phi$,6.20e-7,0.900,"[3.56e-7, 1.08e-6]","[0.744, 1.055]",0.999
