Variable,169 elems,604 elems,5154 elems,"16,234 elems (ref.)",Error 169,Error 604,Error 5154
E[Φ],0.1821,0.1821,0.1821,0.1821,0.00 %,0.00 %,0.00 %
Std[Φ],$2 . 6 7 \mathrm { e } ^ { - 4 }$,2.54e-4,2.49e-4,2.44e-4,9.34%,4.10 %,2.13 %
