Method,Error,Aerodynamic forces and moments
$F _ { x }$,$F _ { y }$,$F _ { z }$,$M _ { x f }$,$M _ { x a }$,$M _ { y }$,$M _ { z }$
DNN-TL,$\delta _ { e } / \%$,0.31,5.71,4.02,5.84,3.88,2.82,6.74
$\delta _ { R }$,0.15,1.69,1.13,0.05,0.02,0.26,0.38
LSTM-TL,$\delta _ { e } / \%$,1.82,71.09,51.54,67.15,31.41,30.36,50.70
$\delta _ { R }$,0.96,20.78,14.74,0.67,0.16,3.01,3.48
ARMA,$\delta _ { e } / \%$,2.37,43.59,30.17,32.40,17.986,10.84,17.83
$\delta _ { R }$,1.22,12.41,9.76,0.33,0.08,1.08,1.83
