Table 5 Cases of $W ^ { \mathrm { P . B . } } ( t ) .$,
Case,$W ^ { \mathrm { P . B . } } ( t )$
1,$W ^ { \mathrm { P . B . } } ( t ) = 6 \times 1 0 ^ { - 3 } W _ { 1 } ^ { \mathrm { P . B . } } ( t ) - 3 \times 1 0 ^ { - 3 }$
2,$W ^ { \mathrm { P . B . } } ( t ) = 6 \times 1 0 ^ { - 3 } W _ { 2 } ^ { \mathrm { P . B . } } ( t ) - 3 \times 1 0 ^ { - 3 }$
3 3,$W ^ { \mathrm { P . B . } } ( t ) = 2 . 2 5 \times 1 0 ^ { - 3 } W _ { 3 } ^ { \mathrm { P . B . } } ( t )$ $W ^ { \mathrm { P . B . } } ( t ) = 2 \times 1 0 ^ { - 3 } W _ { 4 } ^ { \mathrm { P . B . } } ( t ) - 1 \times 1 0 ^ { - 2 }$
