Equations,φ,Γ,$Q _ { s }$
Mass,1,0,0
Momentum,Vi,,0
Energy,T,$\lambda / c _ { p }$,0
Energy f / for TE materials,T,$\lambda / c _ { p }$,$j ^ { 2 } / k { - } j \psi$
Electric potential,U,$k / \varepsilon$,$k S \Delta T$
