Case,Width and depth,m-time (s),m-MRE (%),m-MAE (K)
$\mathbf { T _ { d } }$,$\mathbf { T } _ { \mathbf { u } }$,$\mathbf { T _ { d } }$,$\mathbf { T } _ { \mathbf { u } }$
1,5,1.71,0.139,0.426,0.808,2.865
2,10,9.58,0.034,0.118,0.232,0.933
3,20,41.62,0.027,0.091,0.197,0.692
4,30,96.43,0.049,0.104,0.410,0.849
5,"5,5",4.40,0.145,0.327,0.885,2.417
6,"10,5",9.78,0.153,0.322,0.942,2.433
7,"10,10",29.90,0.104,0.155,0.883,1.366
8,"15,15",96.72,0.211,0.327,1.880,3.362
