Method,Angle of attack (),Velocity (Ma),Sweep angle (°),Axial position (mm),Low- fidelity data,High- fidelity data,Computing time (h)
Proposed method based on MFK model,"0, 2, 4, 6, 8","0.5, 0.65, 0.8","0, 10, 20, 30, 43","2235, 2325, 2415, 2505, 2600",240,110,2520
Trajectory optimization,"0, 2,4, 6,8","0.5, 0.65, 0.8","0, 5, 10, 15, 20, 25, 30, 35, 40, 43","2235, 2280, 2325, 2370, 2415, 2460,0 2505, 2540,2580, 2600",,1500,"18,000"
